state,community_url,house_url,card_id
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/226004370/12194-taylors-way/pickerington/oh/wyatt,6933
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/225045820/8363-spenwood-way/sunbury/oh/camden,6747
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/225045669/2110-sun-dusk-way/marysville/oh/wilmington,6739
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/225042122/6321-windcliff-drive/grove-city/oh/wilmington,6631
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/225042065/409-prairie-drive/marysville/oh/cumberland,6622
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/225031353/1055-greenfield-drive/marysville/oh/denali,6728
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/225045666/2205-sunny-view-court/marysville/oh/wesley,6737
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/225042184/2140-sun-dusk-way/marysville/oh/amelia,6633
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/225043509/1510-day-break-loop/marysville/oh/hudson,6676
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/225038390/1645-day-break-loop/marysville/oh/wembley,6572
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/225045663/1327-blueberry-cove/grove-city/oh/leland,6734
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/225045824/8496-rapala-lane/pickerington/oh/charles,6746
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/226000418/2180-breezeway-place/marysville/oh/charles,6808
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/226001164/366-isaac-tharp-street/pataskala/oh/jensen,6834
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/226001903/4545-baltoro-rd/canal-winchester/oh/yosemite,6850
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/226001159/5205-apple-lane/south-bloomfield/oh/yosemite,6830
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/226000369/364-victor-drive/circleville/oh/greenbriar,6806
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/225045729/1584-day-break-loop/marysville/oh/hudson,6740
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/226001147/1225-ivy-wood-drive/sunbury/oh/winston,6835
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/226005049/2180-night-mist-way/marysville/oh/wyatt,6949
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/936797/2504-bent-grass-drive/beavercreek/oh/winslow,6311
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/936804/45-libby-hollow-street/springboro/oh/pearson,6317
