state,house_url
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/112-overcash-rd-troutman-nc-28166
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/4659-monterrico-drive-lancaster-sc-29720
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/312-jubilee-way-pageland-sc-29728
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/33830-canopy-bluff-ln-lancaster-sc-29720
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/11730-avocet-street-charlotte-nc-28215
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/14133-bobby-jones-dr-lancaster-sc-29720
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/10345-lakeshore-drive-lancaster-sc-29720
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/11734-avocet-street-charlotte-nc-28215
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/44512-silent-meadows-dr-lancaster-sc-29720
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/11809-avocet-street-charlotte-nc-28215
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/711-bermuda-walk-sunset-beach-nc-28468
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/4112-country-club-rd-winston-salem-nc-27104
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1175-natal-drive-se-bolivia-nc-28422
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/4218-arable-st-thomasville-nc-27360
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/212-oriole-dr-angier-nc-27501
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/4236-arable-st-thomasville-nc-27360
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/218-oriole-dr-angier-nc-27501
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/3703-biddle-street-greensboro-nc-27405
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1218-hackney-dr-elon-nc-27244
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/933-aubrieta-st-colfax-nc-27235
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/623-bent-willow-dr-clayton-nc-27527
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/229-nathan-dr-lillington-nc-27546
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1041-house-finch-ave-ravenel-sc-29470
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/155-nathan-dr-lillington-nc-27546
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1046-house-finch-ave-ravenel-sc-29470
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1038-house-finch-ave-ravenel-sc-29470
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1013-mourning-warbler-way-ravenel-sc-29470
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/220-streamside-dr-red-cross-nc-28097
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/321-drawbar-drive-clover-sc-29710
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/103-nathan-dr-lillington-nc-27546
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/319-drawbar-drive-clover-sc-29710
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/2213-jons-creek-ln-charlotte-nc-28213
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/11738-avocet-street-charlotte-nc-28215
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/11805-avocet-street-charlotte-nc-28215
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/11840-avocet-street-charlotte-nc-28215
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1385-tappan-ave-rock-hill-sc-29730
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1484-equality-ave-rock-hill-sc-29730
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/1044-house-finch-ave-ravenel-sc-29470
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/250-oriole-dr-angier-nc-27501
south-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/3984-golf-ave-little-river-sc-29566
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/4204-arable-st-thomasville-nc-27360
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/3809-biddle-street-greensboro-nc-27405
north-carolina,https://www.truehomes.com/new-construction-homes/move-in-ready/2928-smithcliff-road-charlotte-nc-28208
